name,address
University Hospital Charite Berlin,"Charitépl., 1, 10117 Berlin, Germany"
University Hospital Rechts der Isar Munich,"Ismaninger Str., 22, 81675 Munich, Germany"
University Hospital Frankfurt am Main,"Theodor-Stern-Kai, 7, 60596 Frankfurt am Main, Germany"
Beta Clinic Bonn,"Joseph-Schumpeter-Allee, 15, 53227 Bonn, Germany"
Helios Hospital Berlin-Buch,"Schwanebecker Ch, 50, 13125 Berlin, Germany"
Rehabilitation Clinic Schmieder Heidelberg,"Speyererhofweg, 1, 69117 Heidelberg, Germany"
Neurological Rehabilitation Centre Godeshohe Bonn,"Waldstraße, 2-10, 53177 Bonn, Germany"
Teknon Medical Centre Barcelona,"Carrer de Vilana, 12, 08022 Barcelona, Spain"
University Hospital Munster,"Albert-Schweitzer-Campus, 1, 48149 Munster, Germany"
University Hospital Saarland Homburg,"Kirrberger Str., 100, 66421 Homburg, Germany"
University Hospital Heidelberg,"Im Neuenheimer Feld, 672, 69120 Heidelberg, Germany"
University Hospital Tubingen,"Hoppe-Seyler-Straße, 3, 72076 Tubingen, Germany"
University Hospital Ulm,"Albert-Einstein-Allee, 23, 89081 Ulm, Germany"
University Hospital Halle (Saale),"Ernst-Grube-Straße, 40, 06120 Halle (Saale), Germany"
University Hospital Carl Gustav Carus Dresden,"Fetscherstraße, 74, 01307 Dresden, Germany"
Hannover Medical School Hospital,"Carl-Neuberg-Straße, 1, 30625 Hanover, Germany"
University Hospital Schleswig-Holstein Kiel,"Arnold-Heller-Straße, 3, 24105 Kiel, Germany"
Immuno-Oncological Center IOZK Cologne,"Hohenstaufenring, 30-32, 50674 Cologne, Germany"
University Hospital Greifswald,"Ferdinand-Sauerbruch-Straße, , 17475 Greifswald, Germany"
Hadassah University Medical Centre Jerusalem,"Kalman Ya'akov Man St, ,  Jerusalem, Israel"
University Hospital Otto-von-Guericke Magdeburg,"Leipziger Str., 44, 39120 Magdeburg, Germany"
University Hospital Rostock,"Schillingallee, 35, 18057 Rostock, Germany"
Ichilov Sourasky Medical Centre Tel Aviv,"Weizmann St, 6,  Tel Aviv, Israel"
Memorial Bahcelievler Hospital Istanbul,"Adnan Kahveci Blv., No: 227, 34180 Istanbul, Turkey"
Istinye University Hospital Bahcesehir Istanbul,"Süleyman Demirel Cd., No:1, 34517 Istanbul, Turkey"
Constance Care Robotic Rehabilitation Centre Warsaw,"Działkowa, 125, 05-500 Warsaw, Poland"
University Pediatric Hospital Sant Joan de Deu Barcelona,"Pg. de Sant Joan de Déu, 2, 08950 Barcelona, Spain"
Anadolu Medical Centre,"D100, Üstü, 41140 Gebze, Turkey"
University Hospital Krakow,"Macieja Jakubowskiego, 2, 30-688 Krakow, Poland"
Academic Hospital Na Homolce Prague,"Roentgenova, 37, 150 00 Prague, Czechia"
Gennet Clinic Archa Prague,"Prague, Czechia"
MINUTE Medical Vienna,"Vienna, Austria"
Immucura Marbella,"Marbella, Spain"
M1 Private Clinic Munich,"Frauenplatz, 7, 80331 Munich, Germany"
Urological Clinic Munich-Planegg,"Germeringer Str., 32, 82152 Munich, Germany"
University Hospital Ludwig-Maximilians Munich,"Ziemssenstraße, 5, 80336 Munich, Germany"
Park Clinic Weissensee Berlin,"Schönstraße, 80, 13086 Berlin, Germany"
Rehabilitation Clinic Jagerwinkel Bad Wiessee,"Sonnenfeldweg, 20, 83707 Bad Wiessee, Germany"
Marien Hospital Marl,"Hervester Str., 57, 45768 Marl, Germany"
Academic Hospital Sachsenhausen Frankfurt am Main,"Schulstraße, 31, 60594 Frankfurt am Main, Germany"
Pauwels Clinic for Peripheral Nerve and Microsurgery Aachen,"Boxgraben, 56, 52064 Aachen, Germany"
Proton Therapy Centre Prague,"Budínova, 2437/1a, 180 00 Prague, Czechia"
Smile Hair Clinic Istanbul,"Alptekin Cd., No:15, 34774 Istanbul, Turkey"
University Hospital Wurzburg,"Josef-Schneider-Straße, 2, 97080 Wurzburg, Germany"
University Hospital Erlangen,"Maximilianspl., 2, 91054 Erlangen, Germany"
University Hospital Aachen,"Pauwelsstraße, 30, 52074 Aachen, Germany"
University Hospital Giessen,"Rudolf-Buchheim-Straße, 8, 35392 Giessen, Germany"
University Hospital Bonn,"53127 Bonn, Germany"
University Hospital Mannheim,"Theodor-Kutzer-Ufer, 1-3, 68167 Mannheim, Germany"
University Hospital Freiburg,"Hugstetter Str., 55, 79106 Freiburg, Germany"
University Hospital Essen,"Hufelandstraße, 55, 45147 Essen, Germany"
University Hospital Jena,"Am Klinikum, 1, 07747 Jena, Germany"
Rambam Health Care Campus Haifa,"HaAliya HaShniya St, 8, 3109601 Haifa, Israel"
University Hospital Regensburg,"Franz-Josef-Strauß-Allee, 11, 93053 Regensburg, Germany"
Central Institute for Mental Health Mannheim,"J5, , 68159 Mannheim, Germany"
Munich East Orthopedic Center,"Münchener Str., 14, 85540 Munich, Germany"
SHEBA Medical Center Ramat Gan,"Derech Sheba, 2,  Ramat Gan, Israel"
